TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2021,11,21,6,33,10XX ALBERNI ST,West End,491015.9434,5459166.14
Break and Enter Commercial,2021,11,26,13,58,10XX BARCLAY ST,West End,490833.8455,5458886.535
Break and Enter Commercial,2021,12,14,2,2,10XX BEACH AVE,Central Business District,490252.3815,5458162.723
Break and Enter Commercial,2021,7,17,5,0,10XX BEACH AVE,Central Business District,490255.3982,5458158.788
Break and Enter Commercial,2021,6,15,4,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.853
Break and Enter Commercial,2021,7,23,6,12,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2021,9,2,0,0,10XX BROUGHTON ST,West End,490247.4903,5459171.385
Break and Enter Commercial,2021,7,20,14,26,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2021,8,25,12,0,10XX BURNABY ST,West End,490500.2381,5458425.917
Break and Enter Commercial,2021,3,23,17,14,10XX BURRARD ST,West End,490729.8291,5458622.342
Break and Enter Commercial,2021,2,14,7,35,10XX BUTE ST,West End,490409.1263,5458906.32
Break and Enter Commercial,2021,10,22,6,29,10XX CAMBIE ST,Central Business District,491407.3592,5458130.609
Break and Enter Commercial,2021,5,6,3,27,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,5,12,2,17,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,8,11,3,20,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,9,1,4,5,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,10,17,3,48,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,12,26,7,27,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2021,6,12,4,31,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.112
Break and Enter Commercial,2021,7,31,3,30,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.112
Break and Enter Commercial,2021,4,18,3,58,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.444
Break and Enter Commercial,2021,10,25,9,29,10XX COMOX ST,West End,490671.1046,5458723.661
Break and Enter Commercial,2021,10,10,13,59,10XX DAVIE ST,West End,490457.8657,5458626.153
Break and Enter Commercial,2021,6,17,5,10,10XX DAVIE ST,West End,490490.616,5458593.859
Break and Enter Commercial,2021,8,5,19,15,10XX DAVIE ST,West End,490512.2892,5458572.487
Break and Enter Commercial,2021,8,13,20,0,10XX DAVIE ST,West End,490512.2892,5458572.487
Break and Enter Commercial,2021,3,8,5,53,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2021,9,8,5,59,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2021,5,30,4,45,10XX DAVIE ST,West End,490551.2192,5458546.941
Break and Enter Commercial,2021,8,20,6,0,10XX DAVIE ST,West End,490552.0019,5458546.17
Break and Enter Commercial,2021,2,14,19,0,10XX DENMAN ST,West End,489834.1784,5459555.618
Break and Enter Commercial,2021,12,9,22,30,10XX DENMAN ST,West End,489835.2582,5459556.713
Break and Enter Commercial,2021,12,4,7,30,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2021,2,4,0,0,10XX E BROADWAY AVE,Mount Pleasant,494014.5032,5456637.635
Break and Enter Commercial,2021,3,5,8,10,10XX E CORDOVA ST,Strathcona,494025.6382,5458795.809
Break and Enter Commercial,2021,6,14,16,0,10XX EXPO BLVD,Central Business District,491544.5157,5458009.743
Break and Enter Commercial,2021,12,8,3,30,10XX GILFORD ST,West End,489706.2282,5459642.112
Break and Enter Commercial,2021,12,6,4,32,10XX GRANVILLE ST,Central Business District,490982.9544,5458430.893
Break and Enter Commercial,2021,10,29,7,38,10XX GRANVILLE ST,Central Business District,490989.548,5458450.711
Break and Enter Commercial,2021,11,5,7,1,10XX GRANVILLE ST,Central Business District,490989.548,5458450.711
Break and Enter Commercial,2021,10,13,4,52,10XX GRANVILLE ST,Central Business District,490996.1317,5458444.365
Break and Enter Commercial,2021,6,6,0,20,10XX GRANVILLE ST,Central Business District,491000.3223,5458448.65
Break and Enter Commercial,2021,4,6,9,24,10XX GRANVILLE ST,Central Business District,491009.244,5458470.848
Break and Enter Commercial,2021,3,25,5,58,10XX GRANVILLE ST,Central Business District,491023.1195,5458485.035
Break and Enter Commercial,2021,4,12,1,0,10XX GRANVILLE ST,Central Business District,491025.2148,5458487.177
Break and Enter Commercial,2021,4,19,4,30,10XX GRANVILLE ST,Central Business District,491029.6565,5458478.641
Break and Enter Commercial,2021,3,24,7,3,10XX HAMILTON ST,Central Business District,491228.7215,5458179.004
Break and Enter Commercial,2021,4,29,17,0,10XX HAMILTON ST,Central Business District,491263.115,5458200.966
Break and Enter Commercial,2021,10,20,11,45,10XX HARO ST,West End,490899.2273,5458973.865
Break and Enter Commercial,2021,10,25,9,45,10XX HARO ST,West End,490899.2273,5458973.865
Break and Enter Commercial,2021,11,17,1,38,10XX HARO ST,West End,490899.2273,5458973.865
Break and Enter Commercial,2021,11,20,2,57,10XX HARO ST,West End,490899.2273,5458973.865
Break and Enter Commercial,2021,6,19,3,29,10XX HARWOOD ST,West End,490348.9488,5458424.687
Break and Enter Commercial,2021,8,25,15,15,10XX HARWOOD ST,West End,490371.2944,5458414.986
Break and Enter Commercial,2021,5,19,2,0,10XX HOMER ST,Central Business District,491198.8052,5458234.074
Break and Enter Commercial,2021,4,15,0,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2021,4,15,17,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2021,5,1,16,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2021,6,3,3,42,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2021,6,3,23,57,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2021,3,30,3,33,10XX HORNBY ST,Central Business District,490907.2702,5458640.743
Break and Enter Commercial,2021,12,7,5,0,10XX HOWE ST,Central Business District,490943.8893,5458551.423
Break and Enter Commercial,2021,9,24,7,8,10XX HOWE ST,Central Business District,490965.2674,5458560.197
Break and Enter Commercial,2021,11,4,15,4,10XX HOWE ST,Central Business District,490965.2674,5458560.197
Break and Enter Commercial,2021,2,13,16,43,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2021,12,18,7,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494001.5656,5455606.074
Break and Enter Commercial,2021,12,28,2,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494001.5656,5455606.074
Break and Enter Commercial,2021,7,24,7,46,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494042.2591,5455588.047
Break and Enter Commercial,2021,2,15,17,19,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2021,12,16,5,33,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2021,12,26,4,10,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2021,1,3,21,48,10XX MAIN ST,Strathcona,492743.2373,5458089.609
Break and Enter Commercial,2021,6,4,14,24,10XX MAIN ST,Strathcona,492743.5459,5458101.5
Break and Enter Commercial,2021,3,23,20,0,10XX MAINLAND ST,Central Business District,491270.394,5458129.544
Break and Enter Commercial,2021,1,15,10,11,10XX MAINLAND ST,Central Business District,491283.8046,5458143.454
Break and Enter Commercial,2021,3,3,17,9,10XX MAINLAND ST,Central Business District,491318.0416,5458178.961
Break and Enter Commercial,2021,9,9,8,45,10XX MARINASIDE CRES,Central Business District,491400.6061,5457863.287
Break and Enter Commercial,2021,3,19,11,0,10XX MARINASIDE CRES,Central Business District,491477.7038,5457857.499
Break and Enter Commercial,2021,10,16,4,2,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Commercial,2021,12,31,5,25,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Commercial,2021,6,12,0,0,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,7,21,0,3,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,8,2,7,33,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,9,9,20,40,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,9,14,3,29,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,9,24,2,42,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2021,12,14,2,50,10XX PACIFIC BLVD,Central Business District,491600.4537,5457927.687
Break and Enter Commercial,2021,12,1,2,0,10XX PARKER ST,Strathcona,494080.0022,5458126.759
Break and Enter Commercial,2021,12,6,2,0,10XX PARKER ST,Strathcona,494080.0022,5458126.759
Break and Enter Commercial,2021,1,1,4,48,10XX RICHARDS ST,Central Business District,491127.0236,5458305.723
Break and Enter Commercial,2021,12,8,4,51,10XX ROBSON ST,West End,490924.6317,5459091.019
Break and Enter Commercial,2021,12,26,5,37,10XX ROBSON ST,West End,490942.3287,5459086.387
